group_id,seq,is_chiitoi
003d700d41,"[35, 39, 44, 46, 26, 16, 12]",0
003d700d42,"[35, 40, 44, 46, 27, 30, 29, 17, 31, 33, 12, 32, 8, 18]",0
003d700d43,"[35, 41, 45, 46, 9, 29, 33, 27, 28, 19, 14, 11, 26, 31]",0
003d700d50,"[35, 38, 44, 77, 17, 27, 10, 31, 30, 1]",0
003d700d51,"[35, 39, 44, 77, 28, 33, 29, 0, 15, 10, 21, 28, 9]",0
003d700d52,"[35, 40, 44, 77, 31, 30, 26, 27, 28, 8, 8, 9]",0
003d700d53,"[35, 41, 44, 77, 9, 17, 0, 33, 0, 8]",0
003d700d60,"[35, 38, 44, 66, 5, 13, 21, 30, 22, 33, 6, 17, 1]",0
003d700d61,"[35, 39, 44, 66, 18, 7, 32, 17, 18, 33, 28, 16]",0
003d700d62,"[35, 40, 44, 66, 30, 7, 32]",0
003d700d63,"[35, 41, 44, 66, 30, 32, 29, 6, 12, 23]",0
003d700d70,"[35, 38, 44, 73, 0, 28, 5, 8, 5, 15, 13]",0
003d700d71,"[35, 39, 44, 73, 8, 31, 17]",0
003d700d72,"[35, 40, 44, 73, 18, 27, 27, 28]",0
003d700d73,"[35, 41, 44, 73, 29, 30, 7, 27, 25, 26, 1, 0, 0]",0
00496cee00,"[34, 38, 44, 54, 18, 9, 30, 33, 27, 8, 32, 31, 30, 12]",0
00496cee01,"[34, 39, 44, 54, 29, 17, 27, 28, 5, 19, 18, 29, 27, 9, 13, 24]",0
00496cee02,"[34, 40, 44, 54, 30, 26, 25, 28, 27, 32, 33, 17]",0
00496cee03,"[34, 41, 44, 54, 29, 26, 31, 9, 6, 20, 8, 2, 31, 12]",1
00496cee10,"[34, 38, 44, 49, 29, 9, 28, 27, 32, 9, 30, 17]",0
00496cee11,"[34, 39, 44, 49, 28, 32, 9, 0, 27, 26]",0
00496cee12,"[34, 40, 44, 49, 29, 28, 0, 27, 26, 1, 33, 12, 10]",0
00496cee13,"[34, 41, 44, 49, 8, 30, 29, 24, 18, 23]",0
00496cee20,"[34, 38, 44, 73, 30, 17, 8, 27, 26]",0
00496cee21,"[34, 39, 44, 73, 30, 27, 25, 31, 28]",0
00496cee22,"[34, 40, 44, 73, 9, 26, 27, 31, 32, 33, 1, 28, 10, 15]",0
00496cee23,"[34, 41, 44, 73, 0, 16, 30, 25, 26, 10, 6, 9, 9, 16, 9, 29, 24]",0
00496cee30,"[34, 38, 44, 50, 18, 30, 27, 0, 17, 18]",0
00496cee31,"[34, 39, 44, 50, 27, 31, 29, 8, 30, 0]",0
00496cee32,"[34, 40, 44, 50, 32, 18, 15, 16, 29, 8]",0
00496cee33,"[34, 41, 44, 50, 30, 32, 33, 18]",0
00496cee40,"[34, 38, 44, 74, 18, 9, 15, 8, 1, 23, 33, 3, 20, 27, 15]",0
00496cee41,"[34, 39, 44, 74, 30, 0, 8, 20, 26, 0, 24, 24, 19]",0
00496cee42,"[34, 40, 44, 74, 28, 18, 8, 27, 29, 32, 10, 8, 16, 23]",0
00496cee43,"[34, 41, 44, 74, 30, 17, 28, 27, 19, 25, 21]",0
00496cee50,"[35, 38, 44, 48, 26, 8, 30, 8, 16, 10]",0
00496cee51,"[35, 39, 44, 48, 27, 18, 28, 33, 17, 21, 13]",0
00496cee52,"[35, 40, 44, 48, 27, 28, 19, 18]",0
00496cee53,"[35, 41, 44, 48, 18, 29, 27]",0
00496cee60,"[35, 38, 44, 56, 26, 29, 16]",0
00496cee61,"[35, 39, 44, 56, 29, 19, 5]",0
00496cee62,"[35, 40, 44, 56, 16, 26, 0]",1
